protocol         	dedup	demulti	sep_spl	splice	trs_val	dif_exp	dif_spl	norm_read	norm_feat	feature_of_interest
Chromatin_RNA-Seq   	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Read    	GeneBody	GeneBody,mRNA,PROMPT,TSS,PROMPT-TSS
Nucleoplasm_RNA-Seq 	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Read     	mRNA     	GeneBody,mRNA
Cytoplasm_RNA-Seq   	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Read    	mRNA     	mRNA
Total_RNA-Seq     	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	Read    	mRNA     	GeneBody,mRNA
TT-Seq            	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	Read     	Total     	GeneBody,mRNA,PROMPT,TSS,PROMPT-TSS
Gene_Yeo_UCSD_eCLIP    	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	eCLIP          	GeneBody      	GeneBody,Intron
Gene_Yeo_UCSD_seCLIP   	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	eCLIP          	GeneBody      	GeneBody,Intron
